ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,0,484344.6511,511061.8561,504168.3926,377723.8645,148799.3563,269195.148,319845.3647,444773.1702,501570.7723,342542.2073,361267.7366,374975.7072,345531.9865,350710.4438,374852.0326,1206496.461,1189705.33,1187644.572,1186420.238,1199980.934,1200897.994,1221169.304,1187854.057,1189222.502,1190561.69,1186972.792,1189408.024,1243196.871,240822.8176,249459.6124,135619.2179,299925.5839,405739.6169,252854.8622,251607.2438,147177.4854,246281.4294,380825.8705,381918.4199,417458.493,404277.7815,68863.20844,412670.8419,394076.5465,91187.04043,354156.4082,369161.7607,77092.69613,304759.4013,244891.2202,150035.2631,336259.6207,397019.1019,431503.1669,259660.4236,484344.6511,220270.4863,269195.148,147017.7122,484601.0574,220304.5956,591471.1527,759365.35,873551.3452,813495.5816,813495.5816,789644.9811,570393.8502,778028.413,739421.365,555226.1132,604648.2545,137520.0714,245353.764,130686.992,567354.7509,500239.5821,556431.3657,891531.8203,370923.5225,370530.9457,172888.579,167233.0033,211633.2753,186218.2646,142515.2194,634862.4809,2142056.097,2134912.685,2132290.877,2183481.013,579101.565,586788.1238,560380.6233,554900.7883,2146233.04,805592.8855,805121.7588,701909.3918,788712.0384,778551.9144,783429.8409,648725.4068,662356.6195,495138.7484,553048.3997,513576.8834,499641.249,413761.9475,1802097.529,1786662.649,1763255.008,1757966.51,1759709.702,1752205.242,1767219.661,1675233.782,1674205.201,1692513.021,1686084.648,1680226.281,247542.7928,219425.2164,235441.7065,206553.9076,242686.0281
2,484344.6511,0,108365.9098,186558.0664,163095.212,384089.7451,342585.5601,215364.0249,455825.0022,444165.9847,169133.2719,178597.3578,294490.2903,167483.5709,185223.9523,145630.2584,724214.5929,707594.1422,706908.3266,704666.846,717590.0452,721992.3209,738263.9343,706546.3892,705759.2346,710371.4687,708416.182,709910.0671,762177.9044,314872.2912,314213.0012,386774.684,201616.3694,233615.1905,312828.0977,291423.2924,379335.6782,314840.8078,235866.6755,248053.5229,238851.6556,229154.9573,418833.4001,236478.6404,149417.5035,405246.4983,178022.1019,241763.4486,413296.8689,197659.1333,314518.1623,378152.2239,186696.2079,141896.957,161697.687,321449.6622,0,501948.7693,342585.5601,545643.0954,258.1583202,501752.7955,859398.2853,401726.4724,508243.1462,433749.7205,433749.7205,363731.343,216489.1512,329872.7785,278573.5577,186931.0054,243404.301,438109.3088,441514.9446,492694.8086,420578.2279,451108.262,427948.1018,529303.5008,725251.5046,720129.2714,460261.3162,452652.9202,361245.9662,351134.505,441856.8452,893819.3104,1685267.219,1677831.971,1675273.455,1726691.876,907794.4658,891597.5888,888643.2106,865556.8693,1663467.082,487131.578,485864.7404,400172.8413,555679.7056,540922.588,548072.4993,922053.135,929958.9062,451545.0038,420034.9706,448130.4055,448902.2687,82593.44818,1338192.082,1322775.69,1296371.093,1299994.252,1302060.468,1288937.051,1297727.368,1218394.924,1217084.338,1235568.446,1225806.678,1220298.601,284154.22,349519.5916,302407.695,336591.9532,291060.8303
3,511061.8561,108365.9098,0,294807.5247,255426.9404,387057.3519,421440.5897,199804.6244,381818.9036,358010.3046,168640.491,155722.489,235121.7138,165703.0518,165939.9239,136353.2577,704019.1697,687005.4831,682697.6335,683066.8299,697789.6589,693847.0033,720069.6734,683741.2436,690182.9952,684901.2468,679689.3891,682989.3634,738294.4156,385378.0526,386948.5088,436905.3199,268225.793,168533.9568,386309.8012,362009.958,431729.0292,386806.9385,181355.9485,191020.9728,168335.0233,165323.3117,451920.6361,168146.1833,245195.8704,444107.6173,264460.754,191333.7735,448483.2792,265549.4121,386083.098,431206.3899,267733.9495,237711.3307,266020.335,397268.409,108365.9098,480377.7727,421440.5897,543531.4791,108359.617,480165.5759,944666.5871,493655.7931,593775.3716,518440.2213,518440.2213,435124.4994,108639.8727,267823.521,228835.282,79264.10821,137746.5022,492722.4386,515923.4106,545028.8475,528677.1946,555520.5917,535682.6863,614872.2878,793381.3301,788960.3159,521549.5807,513053.8729,428509.2752,410807.4201,497536.643,980917.9812,1714229.854,1706617.317,1704116.704,1755467.647,984698.9465,972093.6703,965281.1084,944646.2806,1661421.397,583305.2988,581946.3516,501813.9499,447315.949,432563.67,439710.7693,1007683.211,1016496.979,555597.5932,527796.8977,553474.2914,553349.3172,110874.1606,1363452.466,1348155.752,1319213,1330325.025,1332619.814,1315087.304,1317980.611,1250217.351,1248707.241,1267170.362,1254914.032,1249730.211,277593.2141,335876.8339,294793.0512,330584.807,284176.1583
4,504168.3926,186558.0664,294807.5247,0,132164.2659,454760.5561,272787.045,341706.1281,613073.0152,613404.0814,295539.8375,321521.1981,447707.6834,295751.9936,323253.6071,288966.6568,783333.5982,768095.6164,773070.4975,766883.291,776391.7517,793544.1475,793600.534,770548.1978,758461.589,778320.4326,781448.2817,780110.9712,825456.5239,273779.3633,267610.8494,376060.2934,213898.7793,397364.2953,264651.613,256766.0685,365291.3383,270053.451,391762.7625,404317.0468,405726.6688,392549.6567,435609.266,402126.6094,119499.7624,413471.5308,154103.8828,393689.5266,427081.6365,209305.8138,270839.7267,362946.8579,172409.2667,120225.663,75237.75959,264857.066,186558.0664,594687.9413,272787.045,606885.2397,186549.7998,594528.9646,735592.8527,264140.3178,379391.6919,313181.0736,313181.0736,287679.7474,402234.0422,471460.1257,413707.371,372674.336,427270.7586,410074.149,367343.398,462734.6859,237138.781,284163.6566,246622.6769,399048.154,644819.7691,638376.6255,414824.1722,410142.1393,317504.1154,327008.7965,411040.4007,764991.8739,1639855.262,1632804.432,1630168.012,1681226.871,801992.9019,778104.8637,783898.6402,755881.6696,1672252.659,331658.3901,330699.2581,232762.9439,741952.0277,727155.4889,734325.7833,796135.2292,801784.0386,286009.4718,238643.4837,277485.4265,281893.7717,232558.0858,1303518.607,1288127.58,1266646.539,1256874.896,1258498.888,1253460.933,1272554.903,1173978.714,1173051.028,1191243.627,1186134.147,1180144.286,384720.4529,447735.8139,400725.3022,426923.6358,390641.7152
5,377723.8645,163095.212,255426.9404,132164.2659,0,322745.3673,183084.2693,227710.0955,504549.0945,515200.0265,187056.4227,219061.2349,341869.6427,188257.05,217546.52,191847.0935,863441.4109,847336.7324,849180.211,845166.7458,856624.2294,866680.54,875827.5147,847860.3723,841836.6215,853445.8879,853635.7553,853947.9423,903535.6049,164486.57,161343.8314,256403.094,81833.60045,303025.8161,159233.5595,142877.5885,246606.8243,162784.1431,291328.5997,303255.676,313749.3134,298256.0863,308860.6867,309210.9625,17500.85987,288518.118,23628.97891,290221.0105,300916.5026,77191.14148,162935.0773,244655.5169,41537.47149,23315.99152,56939.60146,165084.4189,163095.212,463640.7521,183084.2693,475063.9378,163267.7651,463486.7684,696304.0086,396106.3963,511434.776,445206.1371,445206.1371,412286.3873,360888.4645,492269.2482,439492.6265,332769.3091,392439.868,298765.2852,283213.869,353488.9532,303963.3427,307930.1593,305533.5713,530972.082,568227.5101,562708.0833,312744.3029,306308.2961,211668.309,211305.1516,301101.9903,730837.097,1764357.763,1757206.559,1754585.974,1805786.717,746050.3163,728951.7836,727012.1508,703245.1674,1779291.855,459666.3115,458821.8153,357771.7032,688445.3093,674244.5822,681115.5135,758970.4922,766930.3986,307111.856,298289.2441,308719.8138,305885.1756,155671.7046,1424731.965,1409303.163,1386362.639,1380249.893,1381989.086,1374795.685,1390911.38,1297510.94,1296484.47,1314790.154,1308463.527,1302588.125,258417.945,319141.9596,273310.5551,297248.582,263867.2624
6,148799.3563,384089.7451,387057.3519,454760.5561,322745.3673,0,293879.1009,187682.4664,306558.9944,357994.9539,221938.5198,231613.8093,226586.3589,224486.469,221241.8924,252934.1302,1090694.319,1073709.599,1069710.177,1069883.247,1084402.311,1080852.409,1106461.2,1070668.093,1075981.2,1071953.216,1066672.153,1070040.132,1125317.485,247545.3037,256980.3201,180922.5237,241685.6988,262021.0682,259920.1981,244261.6029,187777.9579,253788.0978,237444.7453,236997.5901,273015.7198,261130.3018,125870.2759,268528.8878,335515.8891,142122.9238,301853.6135,225411.2342,131252.7335,246075.704,251993.3585,190149.8365,283967.9801,335688.9488,379645.8564,272534.5788,384089.7451,145221.1048,293879.1009,161570.4252,384345.4073,145101.6985,720150.0419,718839.6687,834142.5109,767108.4205,767108.4205,724705.2564,432354.7225,648501.4554,615057.0519,420366.0205,465590.5562,224557.4609,319967.5618,249954.2026,579208.5075,534896.9892,572777.4349,853715.7699,510561.744,509216.5354,267728.7274,258961.671,246086.1118,210021.7995,231392.8911,762793.3674,2066831.313,2059471.324,2056893.463,2108286.136,719028.4879,722673.1971,699908.4287,691185.9686,2043324.561,780090.1391,779337.2635,676853.2414,640252.9026,629954.6705,634895.9962,779897.0429,792687.0226,530916.7614,567624.3807,544706.9389,533714.2255,304603.1303,1721249.711,1705818.971,1679949.918,1681538.907,1683514.383,1671822.954,1681644.541,1599503.069,1598276.089,1616731.72,1607905.642,1602297.63,110018.8193,70628.60613,94124.23183,60390.51836,103788.3897
7,269195.148,342585.5601,421440.5897,272787.045,183084.2693,293879.1009,0,313734.7914,565535.6741,596990.1758,295922.3659,330301.5726,425096.0206,298602.8908,323464.0269,317707.8009,1043265.319,1027374.699,1030008.306,1025455.856,1036401.044,1048161.7,1055037.524,1028399.682,1020615.196,1034501.051,1035275.666,1035273.493,1083968.973,50272.46633,42740.68833,134714.5757,155228.9476,412165.3239,41309.92069,66841.83862,123420.976,44985.98609,392237.653,401206.6358,424988.1708,408145.7425,209964.1589,419657.3836,199611.1911,183472.6618,164943.6076,385815.0761,200049.4077,157135.9458,46631.48196,120476.4615,156273.69,206275.6407,215774.5125,27125.65249,342585.5601,434683.4231,0,403538.4322,342785.2879,434603.1721,523663.8143,504836.5989,616105.5498,562177.5678,562177.5678,557131.7056,518310.2763,672325.4955,620944.2694,492844.3517,552340.5244,146390.3189,100194.0889,194342.1994,298866.0651,241891.0163,288938.8914,632846.2782,385203.5281,379640.5584,142950.8055,139211.5922,57563.29324,87805.92918,145503.5848,560768.0051,1903950.748,1897056.767,1894400.563,1945184.535,565566.8845,551046.4304,546335.4655,524145.7338,1944986.328,541573.2182,541229.3718,439064.2328,822408.019,809189.7278,815574.1056,586732.4795,595943.6476,237650.2579,285059.8188,252766.6242,240837.2491,311459.9579,1571861.831,1556523.854,1536223.703,1523049.977,1524531.723,1521762.025,1542997.608,1440117.226,1439310.021,1457331.261,1453587.387,1447490.196,295313.0567,329931.7234,300734.4192,304332.7311,297012.2953
8,319845.3647,215364.0249,199804.6244,341706.1281,227710.0955,187682.4664,313734.7914,0,276889.5393,292175.3859,48104.87726,44082.2799,116731.8668,48959.24776,33995.68726,70880.33911,903816.6136,886805.5148,882447.3649,882871.2691,897578.9502,893312.5065,919817.2678,883532.3799,889752.9284,884587.6721,879112.8478,882577.0194,938031.6904,265483.0985,271436.5297,274410.731,175105.5341,100799.4471,272511.6184,246930.0404,273054.1959,269693.1354,78920.68673,87472.35039,113881.8862,97405.88096,268073.7662,108473.168,231706.4453,266691.2591,217467.1742,72090.78613,266881.5642,176356.5272,268259.6947,273580.1488,206303.3643,227793.6503,275300.1635,286610.9684,215364.0249,288215.2975,313734.7914,344007.9899,215599.127,288013.0766,821264.8555,596449.0602,708621.177,636342.7948,636342.7948,576068.157,250783.0854,461420.3891,427384.3993,235527.8509,285311.4462,332021.2326,387602.2808,377981.5068,529626.098,518688.0865,529469.98,729299.7474,640123.1347,636961.8096,368957.1017,359651.6921,295447.6878,266357.8294,338044.138,861215.8542,1898180.584,1890689.685,1888147.376,1939566.148,842617.7684,837425.3137,823054.4977,807638.9057,1859593.217,672034.7329,670991.3936,574462.4931,512823.1921,500224.3795,506296.6825,883819.8975,894672.6253,516572.0612,522600.2397,522960.5248,516901.8119,132892.0353,1549700.448,1534316.133,1506925.99,1513105.838,1515237.043,1500725.325,1507194.927,1431854.248,1430490.898,1448982.115,1438509.853,1433094.876,77839.76131,138031.0626,95016.33173,130831.0393,84377.91269
9,444773.1702,455825.0022,381818.9036,613073.0152,504549.0945,306558.9944,565535.6741,276889.5393,0,70408.55462,319253.6207,291553.2253,165384.0301,318607.8682,290223.5758,324360.2639,1014326.436,997568.4753,987023.2085,992076.5381,1009127.656,990026.0765,1033013.029,990559.7616,1009042.881,986756.9283,975655.1881,982225.4749,1040018.684,515268.1545,523250.8652,479907.5229,447589.0018,222213.2989,525241.7987,502157.193,484302.2782,520723.4769,222485.4481,209911.1455,217718.9333,226674.2937,432414.7257,219632.162,507931.244,447194.7374,494080.6867,219523.3407,437496.165,449603.4882,519022.9569,486142.1038,482099.2797,503612.7006,550565.0976,539562.6044,455825.0022,256864.8941,565535.6741,364009.9474,455991.9054,256693.8506,1026696.462,856424.0489,964065.8035,889531.4168,889531.4168,814190.3663,341674.8012,556214.6893,550285.2758,352457.1323,358215.7012,529069.5986,615930.8535,556457.086,806029.6239,789197.7823,805266.3251,985121.7293,814587.5722,813698.4237,572007.9189,562945.4024,530934.0167,495745.7434,535917.4345,1069293.989,2076683.388,2068917.827,2066487.851,2117559.753,1023137.039,1028447.775,1004223.425,996817.1208,1980601.67,938215.1518,937054.7057,844406.3466,374412.849,368093.3386,371058.2112,1086426.932,1099243.667,786553.1613,798549.4704,794902.9801,787548.031,384662.9227,1723866.266,1708798.785,1677336.346,1695972.966,1698466.223,1676753.686,1673186.507,1617666.973,1615991.412,1634328.685,1619879.79,1615031.921,270419.6666,244906.7255,265156.1005,268604.9178,268525.4996
10,501570.7723,444165.9847,358010.3046,613404.0814,515200.0265,357994.9539,596990.1758,292175.3859,70408.55462,0,328255.8845,296466.5268,175458.3187,326965.0894,297661.3579,326380.1683,958539.0062,941939.8299,930456.7483,936228.6441,953548.8687,932205.2009,977548.0569,934365.2132,954787.9073,929808.2196,917906.6852,924911.9065,982691.0356,546966.2788,554273.0128,523347.3616,467172.3016,216065.5119,555926.6968,531578.5666,526527.7779,552018.4819,224157.6677,212034.6772,207877.9463,220889.1325,482623.0132,211317.7496,516208.885,494911.6354,507733.7815,225031.1882,486750.7016,468514.313,550399.5999,528099.2879,497795.4695,511078.2208,556406.6697,570308.0801,444165.9847,324173.1488,596990.1758,430387.9282,444300.5771,323992.7976,1075226.183,845607.8935,949732.2775,874578.1309,874578.1309,793112.4407,300332.4492,504031.1243,503646.408,315861.1066,311455.1526,575364.7059,655780.7281,606944.96,819103.619,810811.1587,819986.3546,970850.2447,868525.3274,867211.086,617698.9621,608444.9572,567611.5559,533608.4645,582159.6404,1117328.206,2030726.156,2022907.471,2020509.263,2071406.986,1077019.694,1080236.007,1057903.371,1048862.422,1923317.238,931051.5789,929807.3801,841099.0218,304719.5855,298053.1988,301174.3057,1135844.213,1148235.89,808635.191,812926.5819,815129.1334,809036.2311,381066.9561,1677624.345,1662671.964,1630337.388,1651942.673,1654521.091,1631084.556,1625190.962,1574618.004,1572866.56,1591108.991,1575689.711,1570999.189,303695.7278,291397.7289,302275.8955,312771.1407,303273.1125
