recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
1,1,1,2,11,1,12,3000,4.813,0.574,1012.994721,8663.43948,7,5,4,1,14,0,0.357142857,0
2,1,1,2,18,2,19,3003,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,8,0,0.375,0
3,1,1,2,18,2,19,3005,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,8,1,0.375,-1
4,1,1,2,18,2,19,3006,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,14,0,0.571428571,0
5,1,1,2,11,1,12,3010,4.813,0.574,1012.994721,8663.43948,7,3,3,1,16,0,0.375,0
6,1,1,2,18,2,19,3027,5.062,0.574,815.2876596,8336.941475,7,7,6,1,28,0,0.107142857,0
7,1,1,2,18,2,19,3027,5.062,0.574,815.2876596,8336.941475,7,7,6,1,28,0,0.107142857,0
8,1,1,2,18,2,19,3031,5.062,0.574,815.2876596,8336.941475,7,1,1,1,23,0,0.043478261,0
9,1,1,2,18,2,19,3036,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,14,0,0.214285714,0
10,1,1,2,18,2,19,3037,5.062,0.574,815.2876596,8336.941475,7,6,4,1,45,0,0.133333333,0
11,1,1,2,18,2,19,3038,5.062,0.574,815.2876596,8336.941475,7,8,6,1,38,0,0.236842105,0
12,1,1,2,18,2,19,3039,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,20,0,0.15,0
13,1,1,2,18,2,19,3041,5.062,0.574,815.2876596,8336.941475,7,-9,NA,1,18,0,0.166666667,0
14,1,1,2,18,2,19,3045,5.062,0.574,815.2876596,8336.941475,7,8,6,1,32,0,0.125,0
15,1,1,2,18,2,19,3062,5.062,0.574,815.2876596,8336.941475,7,6,4,1,22,0,0.090909091,0
16,1,1,2,18,2,19,3062,5.062,0.574,815.2876596,8336.941475,7,6,4,1,22,0,0.090909091,0
17,1,1,2,18,2,19,3065,5.062,0.574,815.2876596,8336.941475,7,11,9,1,50,0,0.22,0
18,1,1,2,12,1,13,3069,4.835,0.574,731.8740842,8522.379757,7,9,7,1,32,0,0.1875,0
19,1,1,2,12,1,13,3070,4.835,0.574,731.8740842,8522.379757,7,10,7,1,32,0,0.1875,0
